year,price
1988,0.34999999
1989,0.36000001
1990,0.40000001
1991,0.44999999
1992,0.47999999
1993,0.5
1994,0.51999998
1995,0.55000001
1996,0.60000002
1997,0.60000002
1998,0.60000002
1999,0.64999998
2000,0.64999998
2001,0.69
2002,0.75
2003,0.75
2004,0.75
2005,0.80000001
2006,0.89999998
2007,0.99000001
2008,1.1
2009,1.2
2010,1.25
2011,1.39
2012,1.45
2013,1.5
2014,1.5
