Country,Happiness score,Residual,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Canada,7.025,1.924,1.886,1.188,0.783,0.659,0.217,0.368
Russia,5.459,1.494,1.685,1.095,0.586,0.401,0.117,0.08
