year,region,price,id
2022,10.0,88.5,UKC
2022,11.0,85.0,UKL
2022,12.0,92.5,UKM
2022,13.0,169.0,UKN
2023,2.0,150.0,UKI
2023,3.0,120.495,UKJ
2023,4.0,99.0,UKK
2023,5.0,110.0,UKH
2023,6.0,123.99,UKF
2023,7.0,131.0,UKG
2023,8.0,85.0,UKE
2023,9.0,101.99,UKD
2023,10.0,85.0,UKC
2023,11.0,95.0,UKL
2023,12.0,79.199997,UKM
2023,13.0,183.85,UKN
2024,2.0,138.49001,UKI
2024,3.0,134.85001,UKJ
2024,4.0,110.44,UKK
2024,5.0,120.0,UKH
2024,6.0,116.0,UKF
2024,7.0,145.995005,UKG
2024,8.0,86.0,UKE
2024,9.0,105.75,UKD
2024,10.0,80.0,UKC
2024,11.0,95.0,UKL
2024,12.0,100.0,UKM
2024,13.0,187.0,UKN
