Age,Percentage
25,44.9439555
26,43.89
27,50.35
28,55.86
29,60.66
30,62.38
31,65.70
32,66.48
33,67.87
34,71.23
35,72.75
36,73.18
37,71.04
38,72.22
39,73.46
40,73.93
41,74.79
42,75.63
43,76.44
44,77.27
45,77.55
46,78.48
47,78.80
48,77.57
49,79.71
50,78.89
51,78.39
52,78.78
53,77.14
54,78.51
55,77.79
